Scenario,CompressionRatio,SOC_deg,TurbulenceFactor,WorkBoundary_deg,WorkPerCycle,PeakPressure_bar,WarningState,Icon
1,11.0,-8.0,0.8,0,604.3710348850268,31.59092996789395,OK,🟢
2,11.0,-8.0,1.07,0,643.6231457961414,32.9883209243756,OK,🟢
3,11.0,-8.0,1.33,0,682.8752567072556,34.403134051684155,OK,🟢
4,11.0,-8.0,1.6,0,722.1273676183699,35.82333034650279,OK,🟢
5,11.0,-10.33,0.8,0,632.1933257872639,34.62907501489663,OK,🟢
6,11.0,-10.33,1.07,0,673.2404232082001,36.160937986218364,OK,🟢
7,11.0,-10.33,1.33,0,714.287520629136,37.70134497008157,OK,🟢
8,11.0,-10.33,1.6,0,755.3346180500723,39.26007322222176,OK,🟢
9,11.0,-12.67,0.8,0,659.8766574206949,37.95746147024704,OK,🟢
10,11.0,-12.67,1.07,0,702.709776237336,39.63517622339941,OK,🟢
11,11.0,-12.67,1.33,0,745.5428950539774,41.332805845553494,OK,🟢
12,11.0,-12.67,1.6,0,788.3760138706189,43.03083478127729,OK,🟢
13,11.0,-15.0,0.8,0,687.1933940066078,41.572198518387964,OK,🟢
14,11.0,-15.0,1.07,0,731.7888829255663,43.41912041335847,OK,🟢
15,11.0,-15.0,1.33,0,776.3843718445246,45.28868322761993,OK,🟢
16,11.0,-15.0,1.6,0,820.979860763483,47.158246041881384,OK,🟢
17,11.5,-8.0,0.8,0,611.8653580857767,32.49241543748423,OK,🟢
18,11.5,-8.0,1.07,0,651.6089699803672,33.90375017339911,OK,🟢
19,11.5,-8.0,1.33,0,691.3525818749577,35.33991887054895,OK,🟢
20,11.5,-8.0,1.6,0,731.0961937695479,36.78139262343594,OK,🟢
21,11.5,-10.33,0.8,0,640.502196809628,35.70536994376965,OK,🟢
22,11.5,-10.33,1.07,0,682.0933466864025,37.26178108444161,OK,🟢
23,11.5,-10.33,1.33,0,723.6844965631769,38.82736509583861,OK,🟢
24,11.5,-10.33,1.6,0,765.2756464399512,40.41377917220909,OK,🟢
25,11.5,-12.67,0.8,0,669.034239618215,39.233018541270496,OK,🟢
26,11.5,-12.67,1.07,0,712.4661664503822,40.94594778876063,OK,🟢
27,11.5,-12.67,1.33,0,755.8980932825493,42.67042131427882,OK,🟢
28,11.5,-12.67,1.6,0,799.3300201147163,44.4126741078088,OK,🟢
29,11.5,-15.0,0.8,0,697.2229670038031,43.067279209398784,OK,🟢
30,11.5,-15.0,1.07,0,742.4735214092339,44.963184275155356,OK,🟢
31,11.5,-15.0,1.33,0,787.7240758146645,46.86783250580517,OK,🟢
32,11.5,-15.0,1.6,0,832.9746302200953,48.78575100149467,OK,🟢
33,12.0,-8.0,0.8,0,618.9997492315412,33.389534803107395,OK,🟢
34,12.0,-8.0,1.07,0,659.2114037890794,34.81594514494409,OK,🟢
35,12.0,-8.0,1.33,0,699.4230583466177,36.2646093246125,OK,🟢
36,12.0,-8.0,1.6,0,739.634712904156,37.72979867608496,OK,🟢
37,12.0,-10.33,0.8,0,648.4277902529519,36.780485728150055,OK,🟢
38,12.0,-10.33,1.07,0,690.5380281021943,38.3560689154023,OK,🟢
39,12.0,-10.33,1.33,0,732.6482659514362,39.94815316336744,OK,🟢
40,12.0,-10.33,1.6,0,774.7585038006786,41.553400871774365,OK,🟢
41,12.0,-12.67,0.8,0,677.7859016469644,40.5070243349072,OK,🟢
42,12.0,-12.67,1.07,0,721.790211199046,42.25129677728747,OK,🟢
43,12.0,-12.67,1.33,0,765.7945207511277,44.003494562551005,OK,🟢
44,12.0,-12.67,1.6,0,809.7988303032095,45.781842632857284,OK,🟢
45,12.0,-15.0,0.8,0,706.8249022440624,44.567072487090975,OK,🟢
46,12.0,-15.0,1.07,0,752.7026957056344,46.50198356276188,OK,🟢
47,12.0,-15.0,1.33,0,798.5804891672062,48.44257147477267,OK,🟢
48,12.0,-15.0,1.6,0,844.4582826287781,50.41121506493922,OK,🟢
49,12.5,-8.0,0.8,0,625.8031789332584,34.28592691850993,OK,🟢
50,12.5,-8.0,1.07,0,666.4613013501387,35.72267170713008,OK,🟢
51,12.5,-8.0,1.33,0,707.1194237670188,37.180246834343066,OK,🟢
52,12.5,-8.0,1.6,0,747.7775461838991,38.665189804054755,OK,🟢
53,12.5,-10.33,0.8,0,656.0003345138844,37.85995551716058,OK,🟢
54,12.5,-10.33,1.07,0,698.6066605166112,39.44699571591555,OK,🟢
55,12.5,-10.33,1.33,0,741.2129865193383,41.06133029885882,OK,🟢
56,12.5,-10.33,1.6,0,783.8193125220654,42.685280242998374,OK,🟢
57,12.5,-12.67,0.8,0,686.16302816055,41.788896183969385,OK,🟢
58,12.5,-12.67,1.07,0,730.7153343985457,43.55372348893452,OK,🟢
59,12.5,-12.67,1.33,0,775.2676406365414,45.33995152788048,OK,🟢
